phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
150.0000,H,perturbed,frozen,9.09945507e-03,55,4.186
150.0000,H,perturbed,fresh,9.09945556e-03,54,1.685
152.5000,V,nominal,fresh,1.29294813e-04,44,1.347
152.5000,V,perturbed,frozen,1.51566733e-04,55,4.470
152.5000,V,perturbed,fresh,1.51566609e-04,53,1.682
152.5000,H,nominal,fresh,9.86890533e-03,48,1.443
152.5000,H,perturbed,frozen,9.07672905e-03,54,4.446
152.5000,H,perturbed,fresh,9.07672720e-03,54,1.724
155.0000,V,nominal,fresh,9.45784886e-05,44,1.378
155.0000,V,perturbed,frozen,1.58509792e-04,55,4.286
155.0000,V,perturbed,fresh,1.58509670e-04,53,1.701
155.0000,H,nominal,fresh,1.12801021e-02,48,1.542
155.0000,H,perturbed,frozen,7.86678316e-03,54,4.020
155.0000,H,perturbed,fresh,7.86678313e-03,54,1.701
157.5000,V,nominal,fresh,7.49469850e-05,44,1.347
157.5000,V,perturbed,frozen,1.71839421e-04,55,4.379
157.5000,V,perturbed,fresh,1.71839246e-04,53,1.712
157.5000,H,nominal,fresh,1.08887635e-02,48,1.466
157.5000,H,perturbed,frozen,6.11854008e-03,54,4.650
157.5000,H,perturbed,fresh,6.11854071e-03,54,1.701
160.0000,V,nominal,fresh,6.87541310e-05,44,1.353
160.0000,V,perturbed,frozen,1.81255222e-04,55,4.361
160.0000,V,perturbed,fresh,1.81255093e-04,53,1.708
160.0000,H,nominal,fresh,9.07924824e-03,47,1.408
160.0000,H,perturbed,frozen,4.30008015e-03,54,4.475
160.0000,H,perturbed,fresh,4.30008286e-03,54,1.730
162.5000,V,nominal,fresh,7.14516528e-05,44,1.351
162.5000,V,perturbed,frozen,1.82216161e-04,55,4.472
162.5000,V,perturbed,fresh,1.82216137e-04,53,1.651
162.5000,H,nominal,fresh,6.57613440e-03,47,1.439
162.5000,H,perturbed,frozen,2.68323461e-03,54,4.353
162.5000,H,perturbed,fresh,2.68323779e-03,54,1.737
165.0000,V,nominal,fresh,7.84615747e-05,44,1.356
165.0000,V,perturbed,frozen,1.74901276e-04,55,4.520
165.0000,V,perturbed,fresh,1.74901321e-04,53,1.680
165.0000,H,nominal,fresh,4.11592635e-03,47,1.417
165.0000,H,perturbed,frozen,1.42485982e-03,55,4.228
165.0000,H,perturbed,fresh,1.42486136e-03,54,1.717
167.5000,V,nominal,fresh,8.64811350e-05,44,1.378
167.5000,V,perturbed,frozen,1.61963983e-04,55,4.127
167.5000,V,perturbed,fresh,1.61964060e-04,53,1.786
167.5000,H,nominal,fresh,2.21700795e-03,47,1.393
167.5000,H,perturbed,frozen,6.10672663e-04,55,4.064
